estacion,fechahora,370nm ng/m3 (ng/m3),BBP (%),CO (ppm),Dir Viento (Grados),Dir Viento 10M (Grados),HR (%),HR_2m (%),Humedad Inter (%),NO (ppb),NO2 (ppb),NOX (ppb),OZONO (ppb),PM10 (µg/m3),PM25 (µg/m3),Precipitacion (mm),Presion Baro (mmHg),Rad Solar (W/M²),SO2 (ppb),SO2 Envea (ppb),Tempe Inter (°C),Temperatura (°C),Temperatura 20M (°C),Temperatura 8M (°C),Vel Viento (m/s),Vel Viento 10M (m/s),eBC (µg/m3)
Movil Fontibon,2025-10-10 10:00:00,,,,,,,,,,,,,66.4,20.4,,566.0,380.0,,,,17.4,,,,,
Movil Fontibon,2025-10-10 11:00:00,,,,,,,,,,,,,77.2,21.9,,566.0,698.0,,,,18.4,,,,,
Movil Fontibon,2025-10-10 12:00:00,,,,,,,,,,,,,69.7,18.6,,565.0,529.0,,,,18.7,,,,,
Movil Fontibon,2025-10-10 13:00:00,,,,,,,,,,,,,65.2,16.1,,564.0,326.0,,,,17.9,,,,,
Movil Fontibon,2025-10-10 14:00:00,,,,,,,,,,,,,75.8,22.7,,564.0,408.0,,,,17.3,,,,,
Movil Fontibon,2025-10-10 15:00:00,,,,,,,,,,,,,58.7,21.2,,564.0,208.0,,,,16.7,,,,,
Movil Fontibon,2025-10-10 16:00:00,,,,,,,,,,,,,50.8,23.4,,564.0,26.0,,,,15.7,,,,,
Movil Fontibon,2025-10-10 17:00:00,,,,,,,,,,,,,61.9,16.8,,564.0,3.0,,,,14.9,,,,,
Puente Aranda,2025-10-10 00:00:00,,3.1,0.16,215.0,,82.0,,,3.5,15.9,19.4,7.6,6.5,5.7,0.0,564.0,0.0,1.0,,,,,,1.4,,0.6
Puente Aranda,2025-10-10 01:00:00,,5.0,0.15,214.0,,84.0,,,3.4,15.2,18.7,7.9,5.6,5.4,0.0,564.0,0.0,1.0,,,,,,1.4,,0.5
Puente Aranda,2025-10-10 02:00:00,,4.4,0.13,222.0,,90.0,,,3.0,15.7,18.7,5.2,8.0,5.5,0.0,564.0,0.0,1.0,,,,,,0.9,,0.5
Puente Aranda,2025-10-10 03:00:00,,2.3,0.31,271.0,,90.0,,,15.7,20.6,36.3,2.2,9.6,5.0,0.0,564.0,0.0,1.1,,,,,,0.9,,1.1
Puente Aranda,2025-10-10 04:00:00,,2.8,0.43,296.0,,92.0,,,35.9,23.6,59.4,0.8,15.5,4.8,0.0,564.0,0.0,1.2,,,,,,0.8,,2.4
Puente Aranda,2025-10-10 05:00:00,,2.9,0.68,245.0,,88.0,,,46.6,25.0,71.3,0.9,10.6,5.4,0.0,564.0,4.0,1.2,,,,,,0.6,,3.4
Puente Aranda,2025-10-10 06:00:00,,2.9,1.32,252.0,,86.0,,,73.2,29.1,100.9,1.5,9.4,6.8,0.0,564.0,77.0,1.7,,,,,,0.9,,4.0
Puente Aranda,2025-10-10 07:00:00,,1.7,0.76,205.0,,76.0,,,27.3,24.8,52.1,4.1,25.4,6.8,0.0,565.0,102.0,1.5,,,,,,0.7,,3.0
Puente Aranda,2025-10-10 08:00:00,,1.0,0.59,253.0,,69.0,,,19.1,22.0,41.1,5.7,36.1,7.9,0.0,565.0,177.0,1.3,,,,,,0.7,,1.4
Puente Aranda,2025-10-10 09:00:00,,1.0,0.71,185.0,,61.0,,,25.0,29.3,54.3,8.1,33.6,12.6,0.0,565.0,371.0,1.2,,,,,,1.5,,3.6
Puente Aranda,2025-10-10 12:00:00,,1.4,0.42,261.0,,67.0,,,7.4,22.3,29.8,16.6,35.2,7.1,0.0,563.0,179.0,1.7,,,,,,3.2,,1.6
Puente Aranda,2025-10-10 13:00:00,,1.4,0.42,244.0,,72.0,,,9.0,19.6,28.7,16.7,32.3,8.8,0.0,563.0,399.0,1.5,,,,,,3.5,,1.7
Puente Aranda,2025-10-10 14:00:00,,5.1,0.34,260.0,,77.0,,,6.9,16.8,23.7,14.8,27.4,8.4,0.0,562.0,195.0,1.3,,,,,,3.3,,1.4
Puente Aranda,2025-10-10 15:00:00,,5.9,0.41,267.0,,76.0,,,6.9,19.4,26.4,10.3,32.0,10.2,0.0,563.0,46.0,1.2,,,,,,2.1,,1.3
Puente Aranda,2025-10-10 16:00:00,,7.4,0.5,259.0,,78.0,,,5.5,23.0,28.6,7.1,22.3,7.0,0.0,563.0,3.0,1.1,,,,,,1.7,,1.1
San Cristobal,2025-10-10 00:00:00,,15.7,0.11,111.0,,76.0,,,0.4,1.9,2.4,18.7,9.0,6.0,0.0,,0.0,0.3,,,12.4,,,1.5,,0.2
San Cristobal,2025-10-10 01:00:00,,86.9,0.1,102.0,,80.0,,,0.6,2.2,2.9,17.6,5.0,4.0,0.0,,0.0,0.3,,,11.8,,,1.1,,0.0
San Cristobal,2025-10-10 02:00:00,,33.2,0.08,100.0,,78.0,,,1.0,3.0,4.0,17.1,,5.0,0.0,,0.0,0.3,,,11.6,,,0.5,,0.0
San Cristobal,2025-10-10 03:00:00,,36.6,0.09,176.0,,73.0,,,0.3,2.3,2.6,19.0,,3.0,0.0,,0.0,0.3,,,11.8,,,0.1,,0.3
San Cristobal,2025-10-10 04:00:00,,25.6,0.16,94.0,,77.0,,,1.9,8.4,10.3,11.6,9.0,5.0,0.0,,0.0,0.4,,,11.5,,,0.6,,0.4
San Cristobal,2025-10-10 05:00:00,,14.3,0.28,101.0,,79.0,,,5.2,9.9,15.2,6.4,6.0,6.0,0.0,,2.0,0.3,,,10.7,,,1.1,,0.8
San Cristobal,2025-10-10 06:00:00,,5.8,0.61,95.0,,75.0,,,18.5,15.9,34.4,3.7,20.0,5.0,0.0,,71.0,0.7,,,12.0,,,0.4,,1.8
San Cristobal,2025-10-10 07:00:00,,3.6,0.77,8.0,,66.0,,,20.5,23.1,43.7,4.1,27.0,7.0,0.0,,86.0,1.2,,,14.0,,,0.1,,2.1
San Cristobal,2025-10-10 08:00:00,,6.0,1.12,356.0,,63.0,,,32.6,30.9,63.5,5.3,48.0,11.0,0.0,,127.0,1.0,,,14.9,,,0.5,,3.4
San Cristobal,2025-10-10 09:00:00,,9.8,0.24,111.0,,57.0,,,3.8,6.3,10.2,16.2,,22.0,0.0,,239.0,0.4,,,15.7,,,2.0,,1.8
San Cristobal,2025-10-10 10:00:00,,5.1,0.16,103.0,,56.0,,,2.6,4.6,7.3,19.7,8.0,3.0,0.0,,297.0,0.2,,,16.4,,,2.3,,0.3
San Cristobal,2025-10-10 11:00:00,,12.0,0.17,110.0,,51.0,,,3.2,4.8,8.0,20.4,9.0,2.0,0.0,,309.0,0.2,,,17.5,,,2.0,,0.4
San Cristobal,2025-10-10 12:00:00,,12.9,0.17,120.0,,44.0,,,3.2,4.4,7.6,20.0,8.0,3.0,0.0,,335.0,0.2,,,19.0,,,1.7,,0.2
San Cristobal,2025-10-10 13:00:00,,83.8,0.21,85.0,,42.0,,,2.9,6.4,9.3,21.9,18.0,4.0,0.0,,629.0,0.8,,,21.2,,,0.4,,0.7
San Cristobal,2025-10-10 14:00:00,,2.2,0.31,331.0,,57.0,,,4.6,12.2,16.8,23.2,43.0,4.0,0.0,,357.0,1.8,,,19.4,,,1.8,,2.4
San Cristobal,2025-10-10 15:00:00,,4.7,0.4,25.0,,64.0,,,5.4,15.8,21.2,19.8,52.0,17.0,0.0,,101.0,1.5,,,17.5,,,1.5,,2.4
San Cristobal,2025-10-10 16:00:00,,3.0,0.42,336.0,,68.0,,,5.2,16.5,21.7,16.8,35.0,19.0,0.0,,94.0,1.1,,,16.6,,,2.0,,2.6
San Cristobal,2025-10-10 17:00:00,,5.6,0.51,323.0,,71.0,,,1.9,23.0,25.0,11.5,30.0,14.0,0.0,,5.0,0.8,,,14.5,,,1.2,,1.9
Suba,2025-10-10 00:00:00,,,0.37,4.0,,,,,3.0,15.3,18.3,1.5,25.9,11.0,0.0,,,2.6,,,11.5,,,1.4,,
Suba,2025-10-10 01:00:00,,,0.35,21.0,,,,,2.1,15.3,17.4,1.8,18.6,8.0,0.0,,,2.4,,,11.6,,,1.7,,
Suba,2025-10-10 02:00:00,,,0.32,15.0,,,,,1.0,12.4,13.5,3.0,25.4,5.0,0.0,,,2.2,,,11.8,,,1.4,,
Suba,2025-10-10 03:00:00,,,0.32,10.0,,,,,1.1,10.5,11.7,3.4,21.3,10.0,0.0,,,1.2,,,11.5,,,1.6,,
Suba,2025-10-10 04:00:00,,,0.33,21.0,,,,,5.7,14.4,20.1,2.4,22.4,8.0,0.0,,,2.8,,,11.2,,,1.8,,
Suba,2025-10-10 05:00:00,,,0.45,23.0,,,,,14.2,17.0,31.2,1.6,16.5,10.0,0.0,,,3.8,,,10.9,,,1.6,,
Suba,2025-10-10 06:00:00,,,0.56,0.0,,,,,22.6,17.1,39.8,1.7,26.1,11.0,0.0,,,8.8,,,11.3,,,1.3,,
Suba,2025-10-10 07:00:00,,,0.43,0.0,,,,,11.4,11.8,23.3,4.7,39.0,14.0,0.0,,,4.2,,,13.1,,,1.6,,
Suba,2025-10-10 08:00:00,,,0.4,342.0,,,,,6.7,8.4,15.2,8.1,55.7,9.0,0.0,,,2.2,,,15.6,,,1.5,,
Suba,2025-10-10 09:00:00,,,0.48,352.0,,,,,6.7,10.3,17.1,9.8,53.2,6.0,0.0,,,1.2,,,18.0,,,0.1,,
Suba,2025-10-10 10:00:00,,,0.59,149.0,,,,,8.8,13.5,22.3,12.0,44.8,6.0,0.0,,,0.8,,,20.0,,,0.6,,
Suba,2025-10-10 11:00:00,,,0.41,43.0,,,,,4.9,7.3,12.2,13.3,33.4,4.0,0.0,,,0.7,,,20.1,,,1.2,,
Suba,2025-10-10 12:00:00,,,0.33,351.0,,,,,2.3,3.9,6.3,16.1,46.0,1.0,0.0,,,0.7,,,21.8,,,1.5,,
Suba,2025-10-10 13:00:00,,,0.43,266.0,,,,,1.8,6.8,8.7,19.1,33.2,17.0,0.0,,,1.1,,,20.7,,,1.4,,
Suba,2025-10-10 14:00:00,,,0.46,248.0,,,,,1.7,9.0,10.7,26.8,65.8,21.0,0.0,,,1.3,,,20.0,,,1.9,,
Suba,2025-10-10 15:00:00,,,0.4,346.0,,,,,1.3,7.0,8.4,23.8,52.5,24.0,24.5,,,1.1,,,15.6,,,2.2,,
Suba,2025-10-10 16:00:00,,,0.37,253.0,,,,,0.7,4.5,5.3,17.4,35.9,8.0,3.0,,,0.8,,,12.2,,,1.0,,
Suba,2025-10-10 17:00:00,,,0.47,283.0,,,,,2.0,9.6,11.7,10.2,26.1,22.0,0.0,,,0.8,,,12.2,,,0.2,,
Tunal,2025-10-10 00:00:00,947.4,6.6,,201.0,,75.0,79.2,,0.4,3.9,4.3,13.5,11.0,7.0,0.0,564.0,1.0,0.4,,,,,,0.7,,0.9
Tunal,2025-10-10 01:00:00,898.5,9.7,,199.0,,77.0,81.1,,0.9,2.5,3.5,12.9,19.0,6.0,0.5,563.0,1.0,0.4,,,,,,0.7,,0.8
Tunal,2025-10-10 02:00:00,1032.1,9.9,,199.0,,81.0,87.6,,2.0,3.5,5.5,10.4,12.0,5.0,0.0,563.0,1.0,0.4,,,,,,0.5,,0.9
Tunal,2025-10-10 03:00:00,1092.0,6.8,,210.0,,82.0,88.6,,2.0,3.9,5.9,10.2,11.0,3.0,0.0,563.0,1.0,0.3,,,,,,0.5,,1.0
Tunal,2025-10-10 04:00:00,2459.4,6.7,,205.0,,82.0,85.6,,4.5,7.6,12.2,7.3,9.0,8.0,0.0,563.0,1.0,0.6,,,,,,0.5,,2.3
Tunal,2025-10-10 05:00:00,6271.5,2.7,,178.0,,82.0,83.8,,23.4,12.7,36.2,3.0,25.0,23.0,0.0,564.0,6.0,1.4,,,,,,0.6,,6.3
Tunal,2025-10-10 06:00:00,3868.5,0.2,,182.0,,81.0,77.3,,23.4,12.1,35.6,3.7,41.0,11.0,0.0,564.0,97.0,1.1,,,,,,0.6,,4.0
Tunal,2025-10-10 07:00:00,4837.5,1.0,,260.0,,69.0,67.4,,35.3,14.9,50.3,5.0,22.0,13.0,0.0,565.0,122.0,1.7,,,,,,0.8,,4.9
Tunal,2025-10-10 08:00:00,9803.7,2.8,,309.0,,64.0,62.2,,63.2,19.2,82.4,4.9,48.0,18.0,0.0,565.0,227.0,3.2,,,,,,1.0,,9.7
Tunal,2025-10-10 09:00:00,9632.5,1.8,,287.0,,59.0,57.5,,55.9,23.1,79.0,7.4,60.0,27.0,0.0,565.0,364.0,2.7,,,,,,1.6,,9.7
Tunal,2025-10-10 10:00:00,707.9,1.6,,178.0,,44.0,41.0,,5.0,2.3,7.3,18.2,67.0,4.0,0.0,565.0,741.0,0.5,,,,,,1.4,,0.7
Tunal,2025-10-10 11:00:00,2486.0,2.4,,159.0,,39.0,40.1,,6.8,2.2,9.1,19.1,11.0,4.0,0.0,564.0,807.0,0.4,,,,,,1.6,,2.4
Tunal,2025-10-10 12:00:00,3426.6,3.1,,263.0,,44.0,40.8,,13.9,5.0,19.0,18.9,7.0,14.0,0.0,563.0,844.0,1.4,,,,,,2.4,,3.4
Tunal,2025-10-10 13:00:00,5100.7,2.5,,285.0,,51.0,48.1,,13.9,8.6,22.5,19.1,41.0,17.0,0.0,563.0,504.0,1.7,,,,,,3.8,,4.9
Tunal,2025-10-10 14:00:00,5271.2,3.7,,286.0,,62.0,60.2,,15.3,11.9,27.2,19.3,50.0,19.0,0.0,562.0,305.0,1.6,,,,,,3.9,,5.0
Tunal,2025-10-10 15:00:00,4246.7,2.6,,271.0,,56.0,53.9,,16.3,7.4,23.8,17.1,55.0,7.0,0.0,562.0,201.0,1.2,,,,,,2.8,,4.2
Tunal,2025-10-10 16:00:00,5508.7,1.8,,302.0,,66.0,68.0,,27.3,15.0,42.2,11.8,36.0,14.0,0.0,562.0,102.0,1.4,,,,,,2.7,,5.5
Tunal,2025-10-10 17:00:00,5043.1,4.1,,307.0,,67.0,69.7,,27.7,16.8,44.5,8.8,42.0,17.0,0.0,563.0,15.0,1.5,,,,,,2.2,,4.8
Usaquen,2025-10-10 00:00:00,,,,118.0,,,,,,,,,1.0,1.0,0.0,,,,,,12.8,,,1.2,,
Usaquen,2025-10-10 01:00:00,,,,324.0,,,,,,,,,3.6,0.0,0.0,,,,,,12.9,,,0.4,,
Usaquen,2025-10-10 02:00:00,,,,137.0,,,,,,,,,7.3,1.6,0.0,,,,,,12.8,,,1.8,,
Usaquen,2025-10-10 03:00:00,,,,122.0,,,,,,,,,4.6,0.0,0.0,,,,,,12.5,,,2.2,,
Usaquen,2025-10-10 04:00:00,,,,94.0,,,,,,,,,0.0,0.0,0.0,,,,,,12.5,,,1.5,,
Usaquen,2025-10-10 05:00:00,,,,115.0,,,,,,,,,0.1,0.0,0.0,,,,,,12.2,,,2.1,,
Usaquen,2025-10-10 06:00:00,,,,166.0,,,,,,,,,0.1,0.0,0.0,,,,,,12.9,,,0.6,,
Usaquen,2025-10-10 07:00:00,,,,116.0,,,,,,,,,7.5,0.0,0.0,,,,,,14.0,,,2.0,,
Usaquen,2025-10-10 08:00:00,,,,87.0,,,,,,,,,11.9,2.6,0.0,,,,,,16.1,,,0.3,,
Usaquen,2025-10-10 09:00:00,,,,288.0,,,,,,,,,16.4,5.0,0.0,,,,,,17.0,,,1.1,,
Usaquen,2025-10-10 10:00:00,,,,217.0,,,,,,,,,50.3,9.2,0.0,,,,,,18.5,,,2.0,,
Usaquen,2025-10-10 11:00:00,,,,195.0,,,,,,,,,25.3,6.6,0.0,,,,,,19.8,,,1.3,,
Usaquen,2025-10-10 12:00:00,,,,197.0,,,,,,,,,12.1,2.1,0.0,,,,,,20.6,,,1.6,,
Usaquen,2025-10-10 13:00:00,,,,199.0,,,,,,,,,8.9,1.5,0.0,,,,,,21.0,,,1.7,,
Usaquen,2025-10-10 14:00:00,,,,244.0,,,,,,,,,26.8,4.7,0.0,,,,,,18.6,,,2.0,,
Usaquen,2025-10-10 15:00:00,,,,329.0,,,,,,,,,53.7,9.0,0.5,,,,,,16.2,,,1.5,,
Usaquen,2025-10-10 16:00:00,,,,24.0,,,,,,,,,36.8,11.6,0.1,,,,,,14.0,,,0.7,,
Usaquen,2025-10-10 17:00:00,,,,72.0,,,,,,,,,25.1,11.3,0.0,,,,,,14.4,,,0.2,,
Usme,2025-10-10 00:00:00,,,,,,,,,2.1,9.9,12.1,16.0,18.2,6.5,0.0,563.0,0.0,1.0,,,13.4,,,,,
Usme,2025-10-10 01:00:00,,,,,,,,,1.9,11.3,13.3,13.6,11.7,8.0,0.0,562.0,0.0,2.2,,,13.0,,,,,
Usme,2025-10-10 02:00:00,,,,,,,,,2.0,11.8,13.9,13.0,7.7,6.5,0.0,562.0,0.0,2.5,,,12.7,,,,,
Usme,2025-10-10 03:00:00,,,,,,,,,5.1,16.0,21.2,9.2,5.3,5.5,0.0,562.0,0.0,0.9,,,12.6,,,,,
Usme,2025-10-10 04:00:00,,,,,,,,,6.1,12.8,19.0,13.1,13.4,5.0,0.0,562.0,0.0,0.7,,,12.9,,,,,
Usme,2025-10-10 05:00:00,,,,,,,,,11.7,23.6,35.3,3.2,12.2,4.6,0.0,563.0,3.0,1.9,,,12.4,,,,,
Usme,2025-10-10 06:00:00,,,,,,,,,17.1,15.5,32.6,8.7,26.5,4.4,0.0,563.0,98.0,4.1,,,13.3,,,,,
Usme,2025-10-10 07:00:00,,,,,,,,,13.1,13.6,26.7,14.4,22.4,6.4,0.0,563.0,153.0,1.1,,,14.7,,,,,
Usme,2025-10-10 08:00:00,,,,,,,,,7.8,9.3,17.2,21.4,31.1,5.9,0.0,564.0,213.0,3.8,,,16.2,,,,,
Usme,2025-10-10 09:00:00,,,0.6,,,,,,1.9,3.9,5.8,24.3,32.9,5.4,0.0,564.0,388.0,4.0,,,16.6,,,,,
Usme,2025-10-10 10:00:00,,,0.61,,,,,,2.4,3.9,6.4,24.1,20.0,5.2,0.0,563.0,591.0,4.0,,,17.6,,,,,
Usme,2025-10-10 11:00:00,,,0.67,,,,,,4.7,4.4,9.1,23.7,32.0,5.2,0.0,563.0,579.0,2.8,,,18.6,,,,,
Usme,2025-10-10 12:00:00,,,0.65,,,,,,6.3,6.0,12.3,22.6,19.6,5.1,0.0,562.0,464.0,3.8,,,19.6,,,,,
Usme,2025-10-10 13:00:00,,,0.67,,,,,,5.2,5.1,10.3,23.3,27.9,5.0,0.0,561.0,535.0,3.7,,,20.3,,,,,
Usme,2025-10-10 14:00:00,,,0.77,,,,,,6.9,9.8,16.8,23.8,16.8,5.0,0.0,561.0,336.0,2.8,,,19.8,,,,,
Usme,2025-10-10 15:00:00,,,0.81,,,,,,8.7,9.5,18.2,22.8,22.7,5.0,0.0,561.0,301.0,3.2,,,19.3,,,,,
Usme,2025-10-10 16:00:00,,,0.85,,,,,,6.7,14.4,21.1,22.1,25.0,4.8,0.0,561.0,139.0,3.1,,,18.2,,,,,
Usme,2025-10-10 17:00:00,,,1.13,,,,,,6.1,28.0,34.2,11.0,15.3,4.8,0.0,562.0,10.0,2.8,,,15.6,,,,,
